date,location_key,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,new_hospitalized_patients,new_intensive_care_patients,new_ventilator_patients,cumulative_hospitalized_patients,cumulative_intensive_care_patients,cumulative_ventilator_patients,current_hospitalized_patients,current_intensive_care_patients,current_ventilator_patients,mobility_transit_stations,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_residential,mobility_workplaces,wikidata_id,datacommons_id,openstreetmap_id,latitude,longitude,location_geometry,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm
2020-10-01,ID_SS,ID,Indonesia,SS,South Sumatra,,,ID,IDN,1,40,3,65,,6134,349,4425,,,,,,,,,,,-34,-16,8,-1,6,-25,Q2271,,2390842,-2.75,103.833333,POINT(103.833333 -2.75),26.055556,23.037037,30.62963,16.129,
2020-10-02,ID_SS,ID,Indonesia,SS,South Sumatra,,,ID,IDN,1,72,3,86,,6206,352,4511,,,,,,,,,,,-40,-18,3,4,6,-25,Q2271,,2390842,-2.75,103.833333,POINT(103.833333 -2.75),25.907407,22.777778,31.87963,8.170333,
2020-10-03,ID_SS,ID,Indonesia,SS,South Sumatra,,,ID,IDN,1,70,0,90,,6276,352,4601,,,,,,,,,,,-36,-16,5,7,4,-21,Q2271,,2390842,-2.75,103.833333,POINT(103.833333 -2.75),26.12963,22.574074,30.342593,2.201333,
2020-10-04,ID_SS,ID,Indonesia,SS,South Sumatra,,,ID,IDN,1,46,2,65,,6322,354,4666,,,,,,,,,,,-41,-14,7,9,3,-12,Q2271,,2390842,-2.75,103.833333,POINT(103.833333 -2.75),27.342593,22.685185,31.925926,0,
2020-10-05,ID_SS,ID,Indonesia,SS,South Sumatra,,,ID,IDN,1,23,1,75,,6345,355,4741,,,,,,,,,,,-37,-14,7,12,5,-25,Q2271,,2390842,-2.75,103.833333,POINT(103.833333 -2.75),26.935185,22.916667,31.962963,22.352,
2020-10-06,ID_SS,ID,Indonesia,SS,South Sumatra,,,ID,IDN,1,71,5,4,,6416,360,4745,,,,,,,,,,,-36,-14,5,10,5,-27,Q2271,,2390842,-2.75,103.833333,POINT(103.833333 -2.75),26.166667,22.518519,30.944444,15.621,
2020-10-07,ID_SS,ID,Indonesia,SS,South Sumatra,,,ID,IDN,1,114,2,44,,6530,362,4789,,,,,,,,,,,-34,-14,4,6,6,-25,Q2271,,2390842,-2.75,103.833333,POINT(103.833333 -2.75),26.398148,21.953704,31.611111,22.521333,
2020-10-08,ID_SS,ID,Indonesia,SS,South Sumatra,,,ID,IDN,1,83,3,151,,6613,365,4940,,,,,,,,,,,-37,-14,1,3,9,-26,Q2271,,2390842,-2.75,103.833333,POINT(103.833333 -2.75),24.851852,22.027778,28.518519,12.403667,
2020-10-09,ID_SS,ID,Indonesia,SS,South Sumatra,,,ID,IDN,1,63,3,66,,6676,368,5006,,,,,,,,,,,-41,-19,-3,3,11,-22,Q2271,,2390842,-2.75,103.833333,POINT(103.833333 -2.75),25.925926,22.138889,29.990741,5.376333,
2020-10-10,ID_SS,ID,Indonesia,SS,South Sumatra,,,ID,IDN,1,66,1,73,,6742,369,5079,,,,,,,,,,,-38,-20,0,3,9,-17,Q2271,,2390842,-2.75,103.833333,POINT(103.833333 -2.75),26.25,22.87037,31.101852,4.7244,
