,DATE,CUMULATIVE_CONFIRMED,LEAD_7DAYS,MOBILITY_RETAIL_AND_RECREATION
2020-04-01,2020-04-01,1677,2956.0,-31
2020-04-02,2020-04-02,1790,3293.0,-33
2020-04-03,2020-04-03,1986,3512.0,-35
2020-04-04,2020-04-04,2092,3842.0,-40
2020-04-05,2020-04-05,2273,4241.0,-43
2020-04-06,2020-04-06,2491,4557.0,-34
2020-04-07,2020-04-07,2738,4839.0,-33
2020-04-08,2020-04-08,2956,5136.0,-34
2020-04-09,2020-04-09,3293,5516.0,-31
2020-04-10,2020-04-10,3512,5923.0,-43
2020-04-11,2020-04-11,3842,6248.0,-43
2020-04-12,2020-04-12,4241,6575.0,-46
2020-04-13,2020-04-13,4557,6760.0,-33
2020-04-14,2020-04-14,4839,7135.0,-34
2020-04-15,2020-04-15,5136,7418.0,-35
2020-04-16,2020-04-16,5516,7775.0,-34
2020-04-17,2020-04-17,5923,8211.0,-38
2020-04-18,2020-04-18,6248,8607.0,-43
2020-04-19,2020-04-19,6575,8882.0,-45
2020-04-20,2020-04-20,6760,9096.0,-34
2020-04-21,2020-04-21,7135,9511.0,-35
2020-04-22,2020-04-22,7418,9771.0,-34
2020-04-23,2020-04-23,7775,10118.0,-32
2020-04-24,2020-04-24,8211,10551.0,-49
2020-04-25,2020-04-25,8607,10843.0,-50
2020-04-26,2020-04-26,8882,11192.0,-53
2020-04-27,2020-04-27,9096,11587.0,-43
2020-04-28,2020-04-28,9511,12071.0,-43
2020-04-29,2020-04-29,9771,12438.0,-42
2020-04-30,2020-04-30,10118,12776.0,-40
2020-05-01,2020-05-01,10551,13112.0,-44
2020-05-02,2020-05-02,10843,13645.0,-46
2020-05-03,2020-05-03,11192,14032.0,-48
2020-05-04,2020-05-04,11587,14265.0,-38
2020-05-05,2020-05-05,12071,14749.0,-39
2020-05-06,2020-05-06,12438,15438.0,-38
2020-05-07,2020-05-07,12776,16006.0,-44
2020-05-08,2020-05-08,13112,16496.0,-44
2020-05-09,2020-05-09,13645,17025.0,-48
2020-05-10,2020-05-10,14032,17514.0,-48
2020-05-11,2020-05-11,14265,18010.0,-39
2020-05-12,2020-05-12,14749,18496.0,-38
2020-05-13,2020-05-13,15438,19189.0,-37
2020-05-14,2020-05-14,16006,20162.0,-36
2020-05-15,2020-05-15,16496,20796.0,-36
2020-05-16,2020-05-16,17025,21745.0,-37
2020-05-17,2020-05-17,17514,22271.0,-40
2020-05-18,2020-05-18,18010,22750.0,-33
2020-05-19,2020-05-19,18496,23165.0,-29
2020-05-20,2020-05-20,19189,23851.0,-26
2020-05-21,2020-05-21,20162,24538.0,-24
2020-05-22,2020-05-22,20796,25216.0,-27
2020-05-23,2020-05-23,21745,25773.0,-35
2020-05-24,2020-05-24,22271,26473.0,-51
2020-05-25,2020-05-25,22750,26940.0,-40
2020-05-26,2020-05-26,23165,27549.0,-36
2020-05-27,2020-05-27,23851,28233.0,-32
2020-05-28,2020-05-28,24538,28818.0,-32
2020-05-29,2020-05-29,25216,29521.0,-33
2020-05-30,2020-05-30,25773,30514.0,-37
2020-05-31,2020-05-31,26473,31186.0,-37
2020-06-01,2020-06-01,26940,32033.0,-28
2020-06-02,2020-06-02,27549,33075.0,-27
2020-06-03,2020-06-03,28233,34316.0,-27
2020-06-04,2020-06-04,28818,35295.0,-27
2020-06-05,2020-06-05,29521,36406.0,-30
2020-06-06,2020-06-06,30514,37420.0,-31
2020-06-07,2020-06-07,31186,38277.0,-32
2020-06-08,2020-06-08,32033,39294.0,-24
2020-06-09,2020-06-09,33075,40400.0,-26
2020-06-10,2020-06-10,34316,41431.0,-24
2020-06-11,2020-06-11,35295,42762.0,-23
2020-06-12,2020-06-12,36406,43803.0,-26
2020-06-13,2020-06-13,37420,45029.0,-28
2020-06-14,2020-06-14,38277,45891.0,-29
2020-06-15,2020-06-15,39294,46845.0,-21
2020-06-16,2020-06-16,40400,47896.0,-22
2020-06-17,2020-06-17,41431,49009.0,-22
2020-06-18,2020-06-18,42762,50187.0,-22
2020-06-19,2020-06-19,43803,51427.0,-24
2020-06-20,2020-06-20,45029,52812.0,-25
2020-06-21,2020-06-21,45891,54010.0,-28
2020-06-22,2020-06-22,46845,55092.0,-21
2020-06-23,2020-06-23,47896,56385.0,-22
2020-06-24,2020-06-24,49009,57770.0,-22
2020-06-25,2020-06-25,50187,59394.0,-21
2020-06-26,2020-06-26,51427,60695.0,-23
