,date,location_key,cumulative_confirmed,mobility_retail_and_recreation
244,2020-10-01,ID,291182.0,-20.0
245,2020-10-02,ID,295499.0,-20.0
246,2020-10-03,ID,299506.0,-19.0
247,2020-10-04,ID,303498.0,-20.0
248,2020-10-05,ID,307120.0,-17.0
249,2020-10-06,ID,311176.0,-19.0
250,2020-10-07,ID,315714.0,-18.0
251,2020-10-08,ID,320564.0,-18.0
252,2020-10-09,ID,324658.0,-20.0
253,2020-10-10,ID,328952.0,-22.0
254,2020-10-11,ID,333449.0,-19.0
255,2020-10-12,ID,336716.0,-17.0
256,2020-10-13,ID,340622.0,-19.0
257,2020-10-14,ID,344749.0,-16.0
258,2020-10-15,ID,349160.0,-16.0
259,2020-10-16,ID,353461.0,-20.0
260,2020-10-17,ID,357762.0,-17.0
261,2020-10-18,ID,361867.0,-19.0
262,2020-10-19,ID,365240.0,-20.0
263,2020-10-20,ID,368842.0,-19.0
264,2020-10-21,ID,373109.0,-20.0
265,2020-10-22,ID,377541.0,-17.0
266,2020-10-23,ID,381910.0,-18.0
267,2020-10-24,ID,385980.0,-18.0
268,2020-10-25,ID,389712.0,-19.0
269,2020-10-26,ID,392934.0,-17.0
270,2020-10-27,ID,396454.0,-16.0
271,2020-10-28,ID,400483.0,-10.0
272,2020-10-29,ID,404048.0,-9.0
273,2020-10-30,ID,406945.0,-16.0
274,2020-10-31,ID,410088.0,-23.0
275,2020-11-01,ID,412784.0,-18.0
276,2020-11-02,ID,415402.0,-15.0
277,2020-11-03,ID,418375.0,-15.0
278,2020-11-04,ID,421731.0,-14.0
279,2020-11-05,ID,425796.0,-16.0
280,2020-11-06,ID,429574.0,-16.0
281,2020-11-07,ID,433836.0,-15.0
282,2020-11-08,ID,437716.0,-17.0
283,2020-11-09,ID,440569.0,-16.0
284,2020-11-10,ID,444348.0,-16.0
285,2020-11-11,ID,448118.0,-14.0
286,2020-11-12,ID,452291.0,-14.0
287,2020-11-13,ID,457735.0,-16.0
288,2020-11-14,ID,463007.0,-16.0
289,2020-11-15,ID,467113.0,-17.0
290,2020-11-16,ID,470648.0,-16.0
291,2020-11-17,ID,474455.0,-17.0
292,2020-11-18,ID,478720.0,-16.0
293,2020-11-19,ID,483518.0,-17.0
294,2020-11-20,ID,488310.0,-17.0
295,2020-11-21,ID,493308.0,-17.0
296,2020-11-22,ID,497668.0,-19.0
297,2020-11-23,ID,502110.0,-19.0
298,2020-11-24,ID,506302.0,-19.0
299,2020-11-25,ID,511836.0,-16.0
300,2020-11-26,ID,516753.0,-14.0
301,2020-11-27,ID,522581.0,-17.0
302,2020-11-28,ID,527999.0,-17.0
303,2020-11-29,ID,534266.0,-19.0
304,2020-11-30,ID,538883.0,
