date,location_key,cumulative_confirmed,dlcc_7days,mobility_retail_and_recreation
01/10/2020,ID,291182,29382,-20
02/10/2020,ID,295499,29159,-20
03/10/2020,ID,299506,29446,-19
04/10/2020,ID,303498,29951,-20
05/10/2020,ID,307120,29596,-17
06/10/2020,ID,311176,29446,-19
07/10/2020,ID,315714,29035,-18
08/10/2020,ID,320564,28596,-18
09/10/2020,ID,324658,28803,-20
10/10/2020,ID,328952,28810,-22
11/10/2020,ID,333449,28418,-19
12/10/2020,ID,336716,28524,-17
13/10/2020,ID,340622,28220,-19
14/10/2020,ID,344749,28360,-16
15/10/2020,ID,349160,28381,-16
16/10/2020,ID,353461,28449,-20
17/10/2020,ID,357762,28218,-17
18/10/2020,ID,361867,27845,-19
19/10/2020,ID,365240,27694,-20
20/10/2020,ID,368842,27612,-19
21/10/2020,ID,373109,27374,-20
22/10/2020,ID,377541,26507,-17
23/10/2020,ID,381910,25035,-18
24/10/2020,ID,385980,24108,-18
25/10/2020,ID,389712,23072,-19
26/10/2020,ID,392934,22468,-17
27/10/2020,ID,396454,21921,-16
28/10/2020,ID,400483,21248,-10
29/10/2020,ID,404048,21748,-9
30/10/2020,ID,406945,22629,-16
31/10/2020,ID,410088,23748,-23
01/11/2020,ID,412784,24932,-18
02/11/2020,ID,415402,25167,-15
03/11/2020,ID,418375,25973,-15
04/11/2020,ID,421731,26387,-14
05/11/2020,ID,425796,26495,-16
06/11/2020,ID,429574,28161,-16
07/11/2020,ID,433836,29171,-15
08/11/2020,ID,437716,29397,-17
09/11/2020,ID,440569,30079,-16
10/11/2020,ID,444348,30107,-16
11/11/2020,ID,448118,30602,-14
12/11/2020,ID,452291,31227,-14
13/11/2020,ID,457735,30575,-16
14/11/2020,ID,463007,30301,-16
15/11/2020,ID,467113,30555,-17
16/11/2020,ID,470648,31462,-16
17/11/2020,ID,474455,31847,-17
18/11/2020,ID,478720,33116,-16
19/11/2020,ID,483518,33235,-17
20/11/2020,ID,488310,34271,-17
21/11/2020,ID,493308,34691,-17
22/11/2020,ID,497668,36598,-19
23/11/2020,ID,502110,36773,-19
24/11/2020,ID,506302,,-19
25/11/2020,ID,511836,,-16
26/11/2020,ID,516753,,-14
27/11/2020,ID,522581,,-17
28/11/2020,ID,527999,,-17
29/11/2020,ID,534266,,-19
30/11/2020,ID,538883,,
